Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Latitude;Longitude
Centro;1;0;0;15;800.0;390.0;20.0;-22.278745558813878;-42.53539644651903
Higienópolis;1;0;0;48;800.0;230.0;0.0;-22.878273903203;-43.26186166693439
Cachambi;2;0;0;50;1300.0;301.0;17.0;-22.89179753613468;-43.276083133927614
Grajaú;2;1;0;70;1500.0;642.0;74.0;-22.925012803356662;-43.26607406742551
Lins de Vasconcelos;3;1;1;90;1500.0;455.0;14.0;-22.911922959072523;-43.28290475553665
Copacabana;1;0;1;40;2000.0;561.0;50.0;-22.970383704613194;-43.18046046042542
Copacabana;4;3;1;243;13000.0;2000.0;803.0;-22.968444383890656;-43.18223925310406
Freguesia (Jacarepaguá);3;0;0;54;950.0;300.0;28.0;-22.944607450506332;-43.342412721702075
Barra da Tijuca;2;1;1;67;1700.0;589.0;147.0;-23.000443103622832;-43.363240906961806
Tijuca;2;1;0;110;1900.0;700.0;138.0;-22.92896692502506;-43.232609779124424
Olaria;3;1;0;68;1000.0;670.0;0.0;-22.85101885822677;-43.274198655508606
Tijuca;2;1;0;78;2000.0;700.0;0.0;-22.924686902407068;-43.23213577446596
Ipanema;3;1;1;125;7000.0;2100.0;463.0;-22.988216876272844;-43.20574988062204
Tijuca;1;0;0;48;750.0;772.0;25.0;-22.92744556114382;-43.233392797968854
Barra da Tijuca;3;3;1;175;4200.0;1500.0;500.0;-22.998391440059983;-43.36618760442316
Botafogo;2;1;0;76;2500.0;740.0;0.0;-22.951105126674573;-43.18816406372883
Copacabana;3;1;2;378;10000.0;2150.0;700.0;-22.974490034401633;-43.180975491223094
Copacabana;3;0;0;180;5500.0;1780.0;420.0;-22.971170608845117;-43.18433062378535
Recreio dos Bandeirantes;3;1;1;105;2300.0;648.0;0.0;-23.015730225889897;-43.46128511399863
Leblon;3;1;0;110;3900.0;1500.0;120.0;-22.987902311162898;-43.22548136225697
Jardim Oceânico;3;3;1;200;3500.0;1780.0;496.0;-23.007947826733503;-43.31344180088551
Barra da Tijuca;3;1;2;70;1800.0;1095.0;140.0;-22.997957145445106;-43.36902963249981
Copacabana;4;1;0;244;5000.0;2500.0;4100.0;-22.97341174535134;-43.18151805047321
Barra da Tijuca;3;2;1;110;4500.0;2000.0;450.0;-23.002841084501693;-43.36519324699597
Recreio dos Bandeirantes;2;2;2;90;3000.0;1340.0;0.0;-23.014400182350137;-43.467314360347
Recreio dos Bandeirantes;3;2;2;100;2600.0;380.0;0.0;-23.019985749093983;-43.46510857527262
Barra da Tijuca;3;1;1;72;2350.0;600.0;70.0;-23.00340568740958;-43.368603798678585
Humaitá;2;2;1;180;4000.0;2500.0;300.0;-22.958270852608496;-43.20141521600554
Recreio dos Bandeirantes;3;1;2;92;2300.0;840.0;200.0;-23.01538765070287;-43.46261315305522
Centro;1;0;0;27;750.0;371.0;19.0;-22.279066865717695;-42.53184997416172
Ipanema;1;0;0;35;2000.0;650.0;75.0;-22.98119154554053;-43.19871837071465
Ipanema;1;0;0;38;1400.0;530.0;77.0;-22.981888113919755;-43.20105435513275
Recreio dos Bandeirantes;2;1;2;83;1600.0;1160.0;157.0;-23.018189047176907;-43.46403199537897
Barra da Tijuca;4;3;3;153;6500.0;2300.0;434.0;-22.995482358124185;-43.361747880920596
Península;4;3;4;267;18000.0;3100.0;400.0;-22.991347490605126;-43.352617404548155
Ipanema;3;1;0;87;3200.0;1305.0;217.0;-22.98348733431854;-43.20122997754275
Méier;3;1;0;90;1550.0;844.0;80.0;-22.898765358021723;-43.27903325990735
Vargem Pequena;3;1;0;53;1400.0;385.0;28.0;-22.980752022228724;-43.455199030470524
Botafogo;3;1;1;108;5950.0;1405.0;289.0;-22.948254237897203;-43.18459145642155
Maracanã;2;0;0;86;1800.0;600.0;82.0;-22.91146573069269;-43.23467661019971
Recreio dos Bandeirantes;2;1;1;74;1850.0;675.0;200.0;-23.016673953474065;-43.463111706175425
Jacarepaguá;3;1;1;74;1900.0;556.0;98.0;-22.9572601805471;-43.371095567729306
Ipanema;3;2;1;150;8000.0;2400.0;0.0;-22.986404615519135;-43.20239908495185
